"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity ","MEASURE","Measure","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","CO2","Carbon dioxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,45458512,,
"AUT","Austria","CH4","Methane","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,244750,,
"AUT","Austria","N2O","Nitrous oxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,10891,,
"BEL","Belgium","CO2","Carbon dioxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,71719828,,
"BEL","Belgium","CH4","Methane","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,293103,,
"BEL","Belgium","N2O","Nitrous oxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,19595,,
"CZE","Czech Republic","CO2","Carbon dioxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,83538884,,
"CZE","Czech Republic","CH4","Methane","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,499556,,
"CZE","Czech Republic","N2O","Nitrous oxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,19882,,
"CHE","Switzerland","CO2","Carbon dioxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,26669912,,
"CHE","Switzerland","CH4","Methane","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,192702,,
"CHE","Switzerland","N2O","Nitrous oxide","IND-TOTAL","Total Industry ISIC rev. 4","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,9822,,
"AUT","Austria","CO2","Carbon dioxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,901513,,
"AUT","Austria","CH4","Methane","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,178324,,
"AUT","Austria","N2O","Nitrous oxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,8732,,
"BEL","Belgium","CO2","Carbon dioxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,2377407,,
"BEL","Belgium","CH4","Methane","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,217420,,
"BEL","Belgium","N2O","Nitrous oxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,13598,,
"CZE","Czech Republic","CO2","Carbon dioxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,1721057,,
"CZE","Czech Republic","CH4","Methane","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,143180,,
"CZE","Czech Republic","N2O","Nitrous oxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,15725,,
"CHE","Switzerland","CO2","Carbon dioxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,956743,,
"CHE","Switzerland","CH4","Methane","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,161398,,
"CHE","Switzerland","N2O","Nitrous oxide","A","Agriculture, forestry and fishing","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,6597,,
"AUT","Austria","CO2","Carbon dioxide","A01","Crop and animal production, hunting and related service activities","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,796978,,
"AUT","Austria","CH4","Methane","A01","Crop and animal production, hunting and related service activities","T","tonnes of pollutant","2015","2015","TONNE","Tonnes","0","Units",,,178035,,
