"","country","emi","rel.unc.min","rel.unc.max","sector","L1"
"1","ABW",475.69635,0.0722249437962014,0.0722249437962014,"1.A.1","CO2"
"2","AFG",3241.7678,0.067470884952467,0.067470884952467,"1.A.1","CO2"
"3","AGO",3994.4392,0.092517442019557,0.092517442019557,"1.A.1","CO2"
"4","AIA",0.9798037,0.0640389079927236,0.0640389079927236,"1.A.1","CO2"
"5","ALB",78.9956,0.0377126713089179,0.0393994239548556,"1.A.1","CO2"
"6","ANT",3664.954,0.0722249535013161,0.0722249535013161,"1.A.1","CO2"
"7","ARE",74919.70053,0.103124740084779,0.103124740084779,"1.A.1","CO2"
"8","ARG",73931.795272,0.0693186237757936,0.0694444886912461,"1.A.1","CO2"
"9","ARM",1276.7832,0.0594094542709347,0.0635442369505455,"1.A.1","CO2"
"10","ATG",309.1328,0.0722249426065641,0.0722249426065641,"1.A.1","CO2"
"11","AUS",216232.768959,0.0443193958967693,0.052459758434063,"1.A.1","CO2"
"12","AUT",20200.63981112,0.0718211567257118,0.0833859491430386,"1.A.1","CO2"
"13","AZE",14405.5089,0.049088083201058,0.0526484272611349,"1.A.1","CO2"
"14","BDI",49.09704,0.0756900428391873,0.0756900428391873,"1.A.1","CO2"
"15","BEL",23364.852559,0.0510384107787941,0.0595135802954244,"1.A.1","CO2"
"16","BEN",231.044,0.100445209050038,0.100445209050038,"1.A.1","CO2"
"17","BFA",690.0957,0.0756900085310054,0.0756900085310054,"1.A.1","CO2"
"18","BGD",33601.469,0.0904326606898452,0.0904326497046131,"1.A.1","CO2"
"19","BGR",29452.482862,0.0877020593596525,0.116368326885682,"1.A.1","CO2"
"20","BHR",24155.72242,0.0920052551109976,0.0920524467341396,"1.A.1","CO2"
"21","BHS",1485.36,0.0722249467275003,0.0722249467275003,"1.A.1","CO2"
"22","BIH",15408.45164,0.0517357833604182,0.0612012527402252,"1.A.1","CO2"
"23","BLR",31147.4866,0.0523144970763685,0.0562269417773926,"1.A.1","CO2"
"24","BLZ",217.66557,0.0722249538699055,0.0722249538699055,"1.A.1","CO2"
"25","BMU",211.39148,0.0722249543368002,0.0722249543368002,"1.A.1","CO2"
"26","BOL",4188.10077,0.0968349105096096,0.0968349105096096,"1.A.1","CO2"
"27","BRA",119932.591215,0.0577960857675191,0.0584788852409414,"1.A.1","CO2"
"28","BRB",2309.3044,0.076026090514046,0.076026090514046,"1.A.1","CO2"
"29","BRN",4081.5734,0.105842105724412,0.105842105724412,"1.A.1","CO2"
"30","BTN",130.5473,0.066767106336902,0.066767106336902,"1.A.1","CO2"
"31","BWA",3814.456,0.117115827921304,0.117115827921304,"1.A.1","CO2"
"32","CAF",100.00828,0.0756900109145659,0.0756900109145659,"1.A.1","CO2"
"33","CAN",220234.595674247,0.0368166141837743,0.0409097353176881,"1.A.1","CO2"
"34","CHE",3006.325065,0.137204773005679,0.213142615155333,"1.A.1","CO2"
"35","CHL",35350.148511,0.0903776443068425,0.0903948134235486,"1.A.1","CO2"
"36","CHN",4727615.50830138,0.107059010045959,0.10706307934609,"1.A.1","CO2"
"37","CIV",3960.154041,0.0930612920190574,0.0930603571628185,"1.A.1","CO2"
"38","CMR",1584.4275,0.0605708753477509,0.0605708753477509,"1.A.1","CO2"
"39","COD",11.9331,0.0836859936780585,0.0836859936780585,"1.A.1","CO2"
"40","COG",474.999,0.107414477839941,0.107414477839941,"1.A.1","CO2"
"41","COK",13.08777,0.0721025474129884,0.0721025474129884,"1.A.1","CO2"
"42","COL",19057.38666,0.0668877792825439,0.0669197102364692,"1.A.1","CO2"
"43","COM",43.63822,0.0756899526009981,0.0756899526009981,"1.A.1","CO2"
"44","CPV",204.48654,0.0756899461920949,0.0756899461920949,"1.A.1","CO2"
"45","CRI",102.7225914,0.0745940278031754,0.074424451958859,"1.A.1","CO2"
"46","CUB",16274.75701,0.0585077677090621,0.0585077677090621,"1.A.1","CO2"
"47","CYM",244.57718,0.0722249560743076,0.0722249560743076,"1.A.1","CO2"
"48","CYP",2943.574663,0.0505408735938058,0.0482392946046844,"1.A.1","CO2"
"49","CZE",58375.21656622,0.0817401217359985,0.107871577971322,"1.A.1","CO2"
"50","DEU",346231.5331947,0.0557808237932369,0.0695135292716305,"1.A.1","CO2"
"51","DJI",202.17086,0.0756900107599231,0.0756900107599231,"1.A.1","CO2"
"52","DMA",60.21484,0.072224950837014,0.072224950837014,"1.A.1","CO2"
"53","DNK",12757.4524414,0.0580462232227822,0.063179952014751,"1.A.1","CO2"
"54","DOM",11155.69659,0.0573093409948875,0.0573093409948875,"1.A.1","CO2"
"55","DZA",49618.291,0.0952284511208499,0.0952312474532018,"1.A.1","CO2"
"56","ECU",10093.47191,0.0527021625782719,0.0526892062534901,"1.A.1","CO2"
"57","EGY",97752.3585,0.0752267900250817,0.0752267621982341,"1.A.1","CO2"
"58","ERI",333.32541,0.0749746782257947,0.0749746782257947,"1.A.1","CO2"
"59","ESH",59.01038,0.0756899919109969,0.0756899919109969,"1.A.1","CO2"
"60","ESP",100158.71367924,0.0438304413136486,0.0439690436256518,"1.A.1","CO2"
"61","EST",11839.8307,0.149559847002064,0.159366804915462,"1.A.1","CO2"
"62","ETH",3.1863,0.100445209050038,0.100445209050038,"1.A.1","CO2"
"63","FIN",20114.74462676,0.0414946648592844,0.0412706798489836,"1.A.1","CO2"
"64","FJI",373.258284,0.072057589606521,0.072057589606521,"1.A.1","CO2"
"65","FLK",18.674025,0.0722249416223749,0.0722249416223749,"1.A.1","CO2"
"66","FRA",49343.9695203,0.0492858261506155,0.0577971855861501,"1.A.1","CO2"
"67","GAB",919.7649,0.0815007626172526,0.0815082068483779,"1.A.1","CO2"
"68","GBR",149685.6209535,0.0483733381162043,0.0472085881532193,"1.A.1","CO2"
"69","GEO",1276.307,0.0593297221187168,0.0634590668129844,"1.A.1","CO2"
"70","GHA",3290.7194,0.0849821742570952,0.0849821742570952,"1.A.1","CO2"
"71","GIB",157.896,0.0557009395124183,0.0531711435776375,"1.A.1","CO2"
"72","GIN",535.32144,0.0756899852935118,0.0756899852935118,"1.A.1","CO2"
"73","GLP",1059.12836,0.0722249450947059,0.0722249450947059,"1.A.1","CO2"
"74","GMB",116.70867,0.0756900217129934,0.0756900217129934,"1.A.1","CO2"
"75","GNB",85.96433,0.0756900054330985,0.0756900054330985,"1.A.1","CO2"
"76","GNQ",1147.91996,0.0921923061351033,0.0921923061351033,"1.A.1","CO2"
"77","GRC",34572.085398,0.0743594080897617,0.0985273995154931,"1.A.1","CO2"
"78","GRD",138.74695,0.0722249419950162,0.0722249419950162,"1.A.1","CO2"
"79","GRL",102.6285,0.0539423359420734,0.0508845754733778,"1.A.1","CO2"
"80","GTM",4828.501699,0.0954876375368963,0.0954876375368963,"1.A.1","CO2"
"81","GUF",343.32855,0.0722249588170078,0.0722249588170078,"1.A.1","CO2"
"82","GUY",811.0244,0.072224948956062,0.072224948956062,"1.A.1","CO2"
"83","HKG",27927.767,0.0987071152548987,0.0987071152548987,"1.A.1","CO2"
"84","HND",3461.00191,0.0958504441886456,0.0958504441886456,"1.A.1","CO2"
"85","HRV",4757.814539,0.0480394355839594,0.0476883201240122,"1.A.1","CO2"
"86","HTI",945.601,0.0740150541943465,0.0740150541943465,"1.A.1","CO2"
"87","HUN",13055.42021718,0.0578903694410474,0.074855682884528,"1.A.1","CO2"
"88","IDN",195442.560844,0.0744819568737931,0.0744817132730762,"1.A.1","CO2"
"89","IND",1103425.9264217,0.0849982780965566,0.0849982780965566,"1.A.1","CO2"
"90","IRL",12103.557101,0.0433840908298431,0.0406298275722297,"1.A.1","CO2"
"91","IRN",192514.7715285,0.0749285693127623,0.0749406257216496,"1.A.1","CO2"
"92","IRQ",89802.087,0.0532203386151905,0.0532179110344395,"1.A.1","CO2"
"93","ISL",3.186299,0.0539423359420734,0.0508845754733778,"1.A.1","CO2"
"94","ISR",41222.947326,0.0841440407090701,0.0841440407090701,"1.A.1","CO2"
"95","ITA",120850.36236952,0.0403721550678617,0.0408844008858065,"1.A.1","CO2"
"96","JAM",2656.122,0.0823853136510501,0.0823853136510501,"1.A.1","CO2"
"97","JOR",11784.9676,0.0610757671286956,0.061069950857584,"1.A.1","CO2"
"98","JPN",610980.546938261,0.0465144456039276,0.046264297573159,"1.A.1","CO2"
"99","KAZ",135676.3371608,0.0560283011197073,0.0529862100778004,"1.A.1","CO2"
"100","KEN",1183.7716,0.0674504627963493,0.0674499558419468,"1.A.1","CO2"
"101","KGZ",2906.94613,0.0659696971737651,0.0653149136087019,"1.A.1","CO2"
"102","KHM",2499.85439,0.0997636162845828,0.0997636162845828,"1.A.1","CO2"
"103","KIR",9.85151,0.0721025515054621,0.0721025515054621,"1.A.1","CO2"
"104","KNA",117.81297,0.0722249597062807,0.0722249597062807,"1.A.1","CO2"
"105","KOR",351318.26918905,0.0573036914069687,0.0562437227257016,"1.A.1","CO2"
"106","KWT",56166.8698,0.0625411951203374,0.0625411951203374,"1.A.1","CO2"
